work,location,time post,applications,description
IT Projektassistent w/m/d,"Computacenter Berlin, Deutschland Hybrid",Vor 2 Wochen,38 Bewerbungen,"Deine Aufgaben
Als zentrale Unterstützung im Projektmanagement laufen die Fäden bei Dir zusammen. Du bist die rechte Hand unserer Projektmanager:innen und übernimmst dabei zudem auch die kaufmännische Verantwortung Deiner Projekte. Nicht nur unsere Kunden, auch Dein Projektteam kann sich immer auf Dich verlassen. Konkret erwarten Dich folgende Aufgaben:

Du unterstützt die Projektleitung bei der Planung und Steuerung von IT-Projekten unserer Kunden.
Du verantwortest das Projektcontrolling sowie die Erstellung und Aktualisierung von Projektdokumenten, Statusreports und Präsentationen.
Du übernimmst die Planung und Steuerung von Ressourcen.
Neben dem Projekt Office Management, kümmerst du Dich um die Koordination, Vor- und Nachbereitung von Besprechungen und Workshops inkl. der Erstellung von Protokollen.
Als Teil des Teams bist Du regelmäßig direkt beim Kunden vor Ort und somit bundesweit reisebereit.

Dein Profil
Fundierte kaufmännische Kenntnisse und Berufserfahrung im IT Projektmanagement.
Erfahrung in der Projektabwicklung und im Projektcontrolling.
Fortgeschrittene Anwenderkenntnisse der MS Office-Produktpalette.
Grundlegendes Wissen über IT-Service Prozesse (ITIL) sowie von Projekt Management Methoden.
Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift.

Wir bieten
Mobile Working und flexible Arbeitszeiten - Vertrauen ist gut. Punkt.
Weiterentwicklung - Wir investieren in Dich! Ob interne oder externe Trainings, Fach- oder Managementkarriere, Konferenzen, Events, Mentoring oder Coaching.
Kultur - Das „Du"" gilt bei uns über alle Ebenen. Wir sind nahbar - und einfach wir selbst.
Urlaub - Auszeit gefällig? Mindestens 30 Tage Urlaub plus Brauchtumstage, bezahlten Sonderurlaub und Sabbaticals.

Über uns
Computacenter ist ein internationales IT-Unternehmen mit einer 40-jährigen Erfolgsgeschichte. Allein in Deutschland bringen rund 7.000 Menschen die digitale Transformation voran: Sie entwickeln IT-Strategien, implementieren neue Technologien oder managen komplexe Infrastrukturen – für die Mehrheit der DAX-Unternehmen ebenso wie für große öffentliche Auftraggeber.

Als unabhängiger Partner aller führenden IT-Hersteller (wie z. B. Microsoft, Apple, IBM, HP, Cisco, Intel) sind wir in allen relevanten Technologiebereichen unterwegs: von Cyber Security, Cloud und Künstlicher Intelligenz über agile Software-Entwicklung bis hin zu Arbeitsplatzlösungen für die Smart Factory.

Und das Beste an uns? Ganz einfach: Die Menschen, die bei uns arbeiten, in ihrer Vielfalt, mit ihrem Potenzial und ihren individuellen Lebensentwürfen.

Klingt gut? Ist auch gut! Jetzt bewerben.

Deine Online-Bewerbung
Wir freuen uns auf Deine Online-Bewerbung, unabhängig von Geschlecht, Alter, sexueller Orientierung, Nationalität, ethnischer und sozialer Herkunft sowie Religion. Bewerbungen von schwerbehinderten Menschen sind bei Computacenter willkommen und werden bei gleicher Eignung bevorzugt berücksichtigt.

Startklar zum Bewerben?
Das funktioniert am besten über unser Jobportal. Einfach auf den „Jetzt bewerben“-Button klicken und los geht’s!

Fragen zum Job?
Dann wende Dich per E-Mail an DOMINIK.AHAMMER@COMPUTACENTER.COM."
Apriso Developer,"Kouegoue Technology Global Berlin, Deutschland Vor Ort",Vor 1 Monat,Mehr als 200 Bewerbungen,"LOCATION : WARSAW ONSITE.
MUST HAVE EU PASSPORT OR BLUECARD

Should have minimum of 3-5 years of experience in Apriso MES and Manufacturing domain.

Should have experience in Apriso 2016 and Apriso 2019.

Must have good knowledge coding in Apriso (.NET, C#, Java script)

Should have good database knowledge.

Hands-on experience working on Process Builder, Machine Integration, archiving and Business Integration.

Should have knowledge have Apriso Warehouse, Production, Quality, Time & labor and Maintenance modules in discrete and batch manufacturing processes

Well versed with deployment and release management processes.

Excellent communication and documentation skills.

Ready to relocate and work onsite in Warsaw."
Lead Backend & DevOps Engineer (AWS),"TEAMSPORTS.AI GmbH Berlin, Deutschland Hybrid",Vor 5 Monaten,Mehr als 200 Bewerbungen,"ABOUT US
Teamsports.ai develops and operates a cloud-based data management solution for global brands. Using advanced data analytics and smart multi-channel content delivery options, we help our clients make better and more profitable connections with their consumer audiences.

The company is based in central Berlin (Germany) and has been founded by industry experts with extensive retail and technology experience in the US and Europe. We are profitable and ready to take the next steps towards growth and expansion.

We are seeking ambitious, self-motivated engineers with extensive experience to architect and develop a new microservices-based platform for large-scale customer applications. Applicants should enjoy working in a fast paced and customer-oriented environment in a highly collaborative international team.

RESPONSIBILITIES
Design, prototype and develop robust and secure MicroServices (Java-based or Serverless)
Participate in architecture decisions, complex development tasks and challenging client projects
Design and build useful and intuitive REST APIs that serve our mobile and web applications
Set the foundation for our search and analytics infrastructure
Develop integrations with various 3rd party tools and data platforms

REQUIREMENTS
A GitHub portfolio of work that demonstrates what you love to do
B.S. / M.S. in Computer Science or other relevant fields
A passion for crafting clean, elegant and secure code
Strong quantitative, analytical, and critical thinking skills
Excellent communication and problem-solving skillsets
Passionate about continually up-skilling and learning new technologies
Good English skills (spoken and written)

WHAT YOU GET OUT OF IT
Collaborate with outstanding people: We only hire the best. Our quality standards are high and our employees enjoy working alongside other high achievers
Flexibility in terms of working hours and home office work
Take on responsibilities quickly within an agile team
Work on Open Source projects that we actively support
Shape our product, see results quickly and contribute to the growth of Teamsports.ai and its products
Gain a well-rounded experience: We offer a diverse and dynamic environment where you will get the chance to work directly with executives and gain broad knowledge across multiple areas of the business"
(Senior) C# Software Engineer (m/w/d),Evolution Germany Metropolregion Berlin/Brandenburg Hybrid,Vor 2 Wochen,Mehr als 200 Bewerbungen,"Unser Kunde im Gesundheitsbereich, die eine sinnstiftende Tätigkeit anbietet, bei der du helfen kannst, Daten zur Analyse der Gesundheit von Menschen bereitzustellen. Sie arbeiten an einer hochwertigen modularen Software für internationale Kunden sind auf der Suche nach einem erfahrenen C# Software Engineer (m/w/d).

Erkennst du dich wieder?
Teilnahme am gesamten Prozess der Entwicklung in einem SCRUM Setup
Architektur - und Technologiescheidungen
Agile Entwicklung von neuen Modulen
Mentoring von Juniorentwicklern

Dann ist das Ihr Job!
Abgeschlossenes Informatikstudium oder vergleichbare Ausbildung und gute Deutschkenntnisse
Mehrjährige Berufserfahrung im Bereich Softwareentwicklung mit C#/.NET
Erfahrung in der Entwicklung mit SQL-Datenbanken
Erfahrung im Erstellen automatischer Unit Tests und beim Einsatz von Mocking Frameworks
Techstack: C# und TypeScript oder JavaScript mit React

Deshalb müssen Sie dabei sein!
innovatives Arbeitsumfeld mit flacher Hierarchie und kurzen Entscheidungswegen
Eine wertschätzende Arbeitsatmosphäre, Super Teamspirit, mit mehreren Sportmannschaften wie Beachvolleyball oder Basketballteams
Ein flexibles Arbeitsumfeld (Office und Remote)
Professionelle Einarbeitung und regelmäßige Schulungen
moderner Arbeitsplatz

Klingt interessant?"
Intern / Working Student – Semantic 3D Data Extraction (m/f/d),"CARIAD Berlin, Berlin, Deutschland",Vor 5 Tagen,21 Bewerbungen,"At CARIAD, it’s our mission to transform automotive mobility for everyone, everywhere, making it safer, more sustainable, and more comfortable in every way. To deliver on that promise, we’re building a unified technology and software platform, including a vehicle OS and cloud platform, as well as a unified architecture. As a 100% subsidiary of the Volkswagen Group, we’re developing solutions for all of its brands, including Volkswagen, Audi, and Porsche, and will bring our software to over 40 million vehicles by 2030.

Is this an easy task? Not at all! To tackle such a huge challenge, we need a great team. And that’s where you come in. You’ll join more than 5,000 CARIDIANS already working on the latest vehicle features and functions like automated driving, state-of-the-art charging technology, as well as a new digital ecosystem. Together, we’re bringing sustainable change to one of the largest companies in the world.

YOUR TEAMThe Vehicle and Cloud Platform is composed of products like the VW.OS, the next generation of in-vehicle SW platform, or the VW Automotive Cloud, a cloud platform dedicated to automotive online services. Moreover, it covers enabling technologies like data collection and management, updateability and digital lifecycle management of all vehicle software, connectivity solutions and mobile online services.

We develop the overarching data platform for vehicle data which is used for data driven product development in CARIAD and all brands of Volkswagen Group. Assisted and automated driving functions are one of the main driver of innovation in the automotive industry. Our data delivery team is responsible for developing a scalable and future proof data delivery platform comprising of all new and already established requirements for data driven development for automated driving (Level 4). As team we are responsible of developing the platform capability that transform 2D video sequences from our car fleet into useful data for the developing of AI models. To do this, the platform uses a combination of automatic processes such as image processing and AI models, and manual human processes.

What You Will Do

Develop a proof-of-concept (PoC) of incoming features for our team
Evaluate and guide the development team for the implementation of the PoC into a minimum viable product
Investigate new technologies and standards relevant to the product
Support in the automation of some processes
Document and communicate experiments and findings
Work independently on the development of your research plan and experiments and report regularly to your supervisor

Who You Are

Enrolled student in the field of computer science or comparable
Proof of above average technical skills either by academic results or by other means (e.g. GitHub reputed projects or work experience)
Knowledge in 3D software and basic understanding on machine learning
Preferentially knowledge in following areas or skills: web programing, 3D applications, image processing algorithms (2D or 3D) or web UI/UX in the aforementioned areas
Strong communication skills and analytical understanding
Strong interest in new technologies

NICE TO KNOW
Internship
Duration: 3 to 6 months
35-hour week
Working Student
Duration: 6 months
20 h/week, up to 35 h/week during semester break
Remote work options
If you have further questions about the candidate journey at CARIAD, talk to Cari, our CARIAD Chatbot. Can’t see it? Check your settings or visit our FAQ"
(Senior) Data Engineer (f/d/m),"Bringmeister Berlin, Berlin, Deutschland Hybrid",Vor 2 Wochen,Mehr als 200 Bewerbungen,"At Bringmeister, member of Rockaway Capital group, we aim to be the market leader for online groceries in Germany. We work hard every day on creating and delivering perfect online grocery shopping experience and add value to our customer‘s lives by giving them more time to do the things they love to do. Every day the webshop team aims to create an online shop and competitive infrastructure that is oriented towards the needs of our customers.

To strengthen our team in Berlin, we are looking for a (Senior) Data Engineer (f/d/m). Working closely with our management and all our departments, you will be a member of our Business Intelligence team in Berlin. Our team consolidates data from the web store, merchandise management system, delivery logistics and accounting to derive specific recommendations for action for our specialist departments. We combine business and technical expertise with analytical know-how and set the tone for successful corporate management by developing key performance indicator systems that explain complex operational and financial relationships.


Your tasks
Development of reporting and KPI requirements in cooperation with the business units
Design, implementation, adaptation and monitoring of ELT processes
Implementation of data streaming pipelines for realtime data processing
Development of database structures and ensuring high data quality
Development of a state of the art data plattform with Databricks
Work on advanced analytics/ machine learning projects in cross functional teams with real impact

Your profile
At least 3 years of professional experience
Knowledge in database design, especially in data warehouse design
Very good SQL knowledge
Experience in the use of ELT tools like dbt or Delta Live Tables
Experience in streaming technologies like Nifi or Kinesis
Knowledge of Python is an advantage
CI/CD and version Control

What we offer
An opportunity in a very dynamic, innovative and rapidly growing market
Individual work life balance with flexible working hours and hybrid work models, 37 working hours per week as well as 30 vacation days
Room for your creativity - we welcome your fresh ideas, which you can always bring to the table
Working with a modern tech stack and free choice of your working tools
Employee benefits like delivery discount on Bringmeister deliveries, free fruits, drinks at work and Job ticket opportunity for public transport
You will meet a food-loving and innovative community"
Werkstudent (w/m/d) Control Software Development,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 1 Woche,9 Bewerbungen,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Als unser neuer Werkstudent (w/m/d) unterstützt Du uns bei der hardwarenahen Entwicklung von Software und Integration von Sensorik.
Bei uns wirst Du in unsere laufenden Projekte eingebunden und begleitest uns hierzu bei Testaufbauten und der Inbetriebnahme.
Du greifst uns zudem bei täglich anfallenden Aufgaben unter die Arme.

Deine Qualifikationen – fundiert und adäquat

Du studierst einen informationstechnischen Studiengang und stehst uns für ca. 15-20 h/Woche zur Verfügung.
Du bringst sehr gute Kenntnisse im Bereich Informatik mit sowie idealerweise Erfahrungen mit Sensorintegration (Lidar, Kamera) und Kalibrierung.
Vielfältige Technologiekenntnisse, vor allem Erfahrungen mit C++, Python sowie Erfahrung mit den Technologien Linux, ROS, Docker machen dich zum idealen Kandidaten (w/m/d).
Zudem arbeitest Du dich gerne in neue Software-Tools ein.
Du sprichst fließend Deutsch und hast gute Englischkenntnisse.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent*in (w/m/d) zur Erweiterung eines Produktkonfigurators,"Siemens Berlin, Berlin, Deutschland Vor Ort",Vor 1 Woche,5 Bewerbungen,"Art der Anstellung: Befristet; 15-20 Stunden / Woche

Deine Extraportion Praxis.

Wie werden wir uns übermorgen fortbewegen, miteinander kommunizieren, Energien nutzen? Lass uns gemeinsam an den Antworten arbeiten. Wir suchen dafür kluge Köpfe, die Theorie in Praxis umwandeln und clever mitdenken. Kurz: Menschen, die ihre und unsere Fragen in neue Ausrufezeichen verwandeln wollen! Als Werkstudent*in stehen dir bei uns viele Türen offen, um dich einzubringen: Ergreife die Chance und werde Teil unseres weltweiten Netzwerks, knüpfe wichtige Kontakte und lege so den Grundstein für deine berufliche und persönliche Zukunft. Unsere Teams freuen sich auf dich.

Verändere mit uns die Welt von morgen.

Du unterstützt uns bei der Erweiterung des Webinterfaces und der Funktionalität eines Produkt Konfigurators in HTML, CSS, JavaScript/ jQuery, PHP
Du programmierst mit uns eine Arduino Fernsteuerung, die über eine selbst programmierte Android App gesteuert werden soll. Vordergründig in Java, C, C++
Zudem arbeitest Du mit uns an der Programmierung eines Netzautomatisierungsgerätes in Python, PHP, React, C++, Javascript / jQuery, HTML/CSS, Docker und SQL
Du führst kleinere Projekte mit Mikroprozessorprogrammierung durch
Ferner arbeitest Du bei der Erstellung von Excel-Tools zur Auswertung von auftragsspezifischen Daten mit
Darüber hinaus unterstützt du unser Team bei der Aktualisierung der Produktdokumentation sowie der Werbeschriften
Die Überarbeitung von Präsentationsfolien (PowerPoint) runden dein Aufgabengebiet ab

Wir suchen keine Superhelden. Sondern super helle Köpfe.

Du studierst derzeit erfolgreich Informatik, Wirtschaftsinformatik, Elektrotechnik oder einen vergleichbaren Studiengang mit dem Fokus auf Softwareentwicklung und optional auch Mikroprozessorprogrammierung
Du bist sicher im Umgang mit MS Office, insbesondere in Excel und PowerPoint
Erforderliche Kenntnisse in HTML, CSS, Javascript / jQuery, PHP, Java, C++, SQL, Python sowie einen sicheren Umgang mit Docker, React, Android Studio und der Arduino IDE bringst du ebenfalls mit
Du bist motiviert, deine Grundlagenkenntnisse in der Microprozessorprogrammierung selbstständig in kleinen Projekten anzuwenden
Du überzeugst uns durch Eigeninitiative, eine selbstständige Arbeitsweise sowie eine ausgeprägte Team- und Kommunikationsfähigkeit
Auf deine sehr guten Deutsch- und Englischkenntnisse in Wort und Schrift können wir uns verlassen

Wir wollen, dass du willst: Bewirb dich!

www.siemens.de

wenn du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

Du hast Fragen zur Bewerbung? Hier findest du Antworten auf häufig gestellte Fragen.

Wenn du darüber hinaus noch Fragen hast, wende dich gerne an uns: www.siemens.de/fragenzurbewerbung

www.siemens.de/karriere

wenn du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Smart Infrastructure

Company: Siemens AG

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
IT Manufacturing Internship (m/w/d) - Gigafactory Berlin-Brandenburg,"Tesla Berlin, Berlin, Deutschland Vor Ort",Vor 3 Tagen,45 Bewerbungen,"What To Expect

Location: Gigafactory Berlin-Brandenburg

Duration: 6 months

Time type: Full-time

Start date: March 2023

In the role as IT Manufacturing intern you will be part of a world-class team responsible for designing and building the automated and robotic equipment at Tesla factories. If you are a technical expert in various areas, thrive under pressure, enjoy solving problems, love working your way through chaos, and get bored with mundane IT tasks, then this role is for you. You will be collaborating with the team in gathering the requirements, analyze them and propose solution to networking needs. Furthermore, you will be contributing to the team's mission by providing, implementing, testing and maintaining networking services per solution design.

What You’ll Do
Put into practice your technical and analytical skills by performing root cause analysis, document findings, and suggest changes to prevent future outages
Help the team with the installation, support, patch, upgrade, replacement, and remediating all IT hardware along manufacturing lines
Support operations related to: troubleshoot hardware, operating system and software issues
Identifying troubleshoot network issues from the client up to the switch and IDF
Learn and get good experience in IP networking, L2/L3 network protocols (spanning-tree, OSPF, BGP), LAN/WAN, TCP/IP,
DHCP, DNS, routing, QOS, VLAN, ACL, application flow, NAC, and infrastructure cabling
Learn different monitoring tools and support global monitoring system
Understanding of how to develop scripts to automate infrastructure deployment and collect metrics
What You’ll Bring
Studying towards a degree in Computer Science or related
Experience within user support and imaging hardware
Overall understanding of LAN/WAN, TCP/IP, DHCP, DNS, routing, VLAN and infrastructure cabling
Knowledge of Microsoft Word, Excel, PowerPoint, and Visio
C1 level in English is required, German is a plus"
"Working Student/ Werkstudent (m/f/x) in Technology, Data and Innovation at the Berlin Technology","Jobs via eFinancialCareers Berlin, Berlin, Deutschland Vor Ort",Vor 1 Woche,24 Bewerbungen,"Position Overview

Location: Berlin

Working arrangement: part time as working student

Deutsche Bank Technology Centre in Berlin

DB Technology is a global team of tech specialists, spread across multiple trading hubs and technology centres. We have a strong focus on promoting technical excellence - our engineers work at the forefront of financial services innovation using cutting-edge technologies.

Our Berlin location is our most recent addition to our global network of technology centres and growing strongly. We are committed to building a diverse workforce and to creating excellent opportunities for talented engineers and technologists. Our tech teams and business units use agile ways of working to create solutions from our home market.

About Technology, Data And Innovation (TDI)

Technology underpins Deutsche Bank's entire business and is changing and shaping the way we engage, interact and transact with our stakeholders, internally and externally. Our Technology, Data and Innovation (TDI) strategy is strengthening our engineering expertise, introducing an agile delivery model, and is modernising the bank's IT infrastructure with long-term investments and taking advantage of cloud computing. We are building a team of visionary technology talent that will ensure that we thrive in this period of unprecedented change for the industry. That means hiring the right people and giving them the training, freedom and opportunity they need to do pioneering work.

Your Key Responsibilities
Estimate, design, develop, (auto)test and implement new functionalities and document design decisions
Prototyping new features, meeting business needs and solving challenging technical problems by designing and developing e.g. application codes
Work in a cross disciplined agile team with shared responsibility and high autonomy e.g., Collaborating with QA to ensure quality solutions are delivered to end users
Enhancing our infrastructure capabilities and functions with new and fresh ideas
Learn, grow and develop as a person and engineer

What we look for
You currently study in Computer Science, Computer Engineering, Information Technology, Industrial Engineering, Innovation and Technology or similar
You are able to write code in one or more coding languages such as but not limited to Java, Kotlin, Python (please provide proof in your application)
You understand software engineering, coding and software testing concepts as well as software development cycles
You are passionate about working for a global player in the world of finance
You have good communication skills with business fluency in English and enjoy collaboration in agile teams

What we offer
Competitive salary and benefits
Hybrid model of remote work and office days
Working at the forefront of financial services technology at scale

In addition to your CV, please also upload your current certificate of enrolment.

In case of any recruitment related questions, please get in touch with Luisa Moderzinski.

Contact: Luisa Moderzinski (+49 15129200322)

Unsere Werte bestimmen das Arbeitsumfeld, welches wir schaffen möchten - vielfältig, wertschätzend und offen für verschiedene Meinungen. Nur eine Unternehmenskultur, die eine Vielzahl von Perspektiven, sowie kulturellen und gesellschaftlichen Hintergründen vereint, fördert Innovation. Wir setzten auf vielfältige Teams, in welchen die Menschen ihr volles Potential entfalten können - denn das Zusammenführen verschiedener Talente und Ideen spielt eine entscheidende Rolle für den geschäftlichen Erfolg der Deutschen Bank.

Unsere Unternehmenskultur setzt hohe ethische Standards und fördert ein gutes Miteinander. Unabhängig von kulturellem Hintergrund, Nationalität, ethnischer Zugehörigkeit, geschlechtlicher und sexueller Identität, körperlichen Fähigkeiten, Religion und Generation freuen wir uns über Bewerbungen talentierter Menschen.

Sprechen Sie uns an: Wir bieten flexible Arbeitszeitmodelle und weitere Zusatzleistungen, um Sie in Ihrem Berufsleben zu unterstützen.

Klicken Sie hier für weitere Informationen zu Vielfalt und Teilhabe in der Deutschen Bank."
