Apriso Developer,"Berlin, Germany",1 month ago,Over 200 applicants,"LOCATION : WARSAW ONSITE.
MUST HAVE EU PASSPORT OR BLUECARD

Should have minimum of 3-5 years of experience in Apriso MES and Manufacturing domain.

Should have experience in Apriso 2016 and Apriso 2019.

Must have good knowledge coding in Apriso (.NET, C#, Java script)

Should have good database knowledge.

Hands-on experience working on Process Builder, Machine Integration, archiving and Business Integration.

Should have knowledge have Apriso Warehouse, Production, Quality, Time & labor and Maintenance modules in discrete and batch manufacturing processes

Well versed with deployment and release management processes.

Excellent communication and documentation skills.

Ready to relocate and work onsite in Warsaw."
"Software Engineer Internship, Manufacturing Test Engineering (m/w/d) – Gigafactory Berlin-Brandenburg","Berlin, Berlin, Germany",18 hours ago,33 applicants,"What to Expect Tesla is seeking an amazing software engineering intern to contribute to the Gigafactory Berlin, Manufacturing Test Engineering team. As a member of our team, you will shape the direction of next generation core manufacturing automation systems at Tesla. You must have a genuine passion for engineering products that will fundamentally change the world’s energy infrastructure and thrive working in a fast-paced, entrepreneurial environment. What You’ll Do
Develop software applications to support release of test equipment for new super charging & battery pack product.
Write software for automated test machinery embedded in high volume production lines.
Deploy scalable software solutions typical to manufacturing and power electronics.
Implement novel, highly efficient software technologies to improve product throughput and reliability.
Collaborate with electrical, firmware, and mechanical design engineers throughout product life cycle (from product inception to mass production) to debug and improve products.
Directly impact product time to market with high internal visibility resulting in high risk, high reward scenarios.
Absorb product knowledge to the point of product expertise.
Resolve show-stopping limiters at design pilot and full-blown production stages of product life cycle.
What You’ll Bring
Proficient in modern system technologies such as gRPC, GraphQL and SQL.
Proficient in system-level languages such as C, C++, Golang, used for the development of machinery.
Studying BS or MS in Software Engineering, Computer Science, or the equivalent in experience with evidence of exceptional ability.
Fluent in software fundamentals including software design, backend infrastructure, code modularity and maintainability.
Remain engaged, proactive, and positive in tough circumstances, owning assignments and taking full accountability for overall team success.
Possess strong communication skills and a preference for delivering as part of a team."
Werkstudent (w/m/d) Control Software Development,"Berlin, Berlin, Germany",1 week ago,9 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Als unser neuer Werkstudent (w/m/d) unterstützt Du uns bei der hardwarenahen Entwicklung von Software und Integration von Sensorik.
Bei uns wirst Du in unsere laufenden Projekte eingebunden und begleitest uns hierzu bei Testaufbauten und der Inbetriebnahme.
Du greifst uns zudem bei täglich anfallenden Aufgaben unter die Arme.

Deine Qualifikationen – fundiert und adäquat

Du studierst einen informationstechnischen Studiengang und stehst uns für ca. 15-20 h/Woche zur Verfügung.
Du bringst sehr gute Kenntnisse im Bereich Informatik mit sowie idealerweise Erfahrungen mit Sensorintegration (Lidar, Kamera) und Kalibrierung.
Vielfältige Technologiekenntnisse, vor allem Erfahrungen mit C++, Python sowie Erfahrung mit den Technologien Linux, ROS, Docker machen dich zum idealen Kandidaten (w/m/d).
Zudem arbeitest Du dich gerne in neue Software-Tools ein.
Du sprichst fließend Deutsch und hast gute Englischkenntnisse.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
Werkstudent (w/m/d) React / Mendix Frontend Developer,"Berlin, Berlin, Germany",4 hours ago,3 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Du unterstützt uns bei der Entwicklung einer Kartenapplikation auf Basis von React.
Hierbei hilfst Du uns bei der bidirektionalen Integration der React-Kartenanwendung mit einem Mendix-Backend und Snowflake-Data Warehouse.
Du hilfst beim Implementieren von Features im Low Code-Framework Mendix mit.
Zudem assistierst Du uns bei der Durchführung von Code-Reviews.
Außerdem nimmst Du am agilen Scrum-Prozess und anderen Projektmeetings teil.

Deine Qualifikationen – fundiert und adäquat

Du studierst einen technischen Studiengang z.B. (Wirtschafts-)Informatik und stehst uns für ca. 20 h/Woche zur Verfügung.
Du hast bereits fundierte Erfahrung mit dem JavaScript-Framework React (TypeScript-Version), sowie mit der Verwendung von JavaScript-Kartenkomponenten.
Zudem hast Du Interesse dich ins Low Code-Framework Mendix einzuarbeiten.
Ferner kommunizierst Du sicher auf Deutsch und Englisch.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Werkstudent (w/m/d) Software Development,"Berlin, Berlin, Germany",3 days ago,38 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 38.200 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

In deiner neuen Position als ""Werkstudent (w/m/d) Softwareentwicklung"" wirst Du Teil unseres Teams und unterstützt uns bei der Entwicklung neuer IT-Sicherheitslösungen.
Du hilfst uns bei der Entwicklung einer vollautomatischen Deployment-Infrastruktur.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Wirtschaftsinformatik oder einen vergleichbaren Studiengang und bist mit 20 h/Woche verfügbar.
Du verfügst über vertiefte Kenntnisse in der Programmiersprache Python und Linux.
Idealerweise hast Du erste Erfahrungen mit REST-Schnittstellen.
Du bringst sehr gute Deutsch- und Englischkenntnisse mit.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
IT Manufacturing Internship (m/w/d) - Gigafactory Berlin-Brandenburg,"Berlin, Berlin, Germany",4 days ago,52 applicants,"What To Expect

Location: Gigafactory Berlin-Brandenburg

Duration: 6 months

Time type: Full-time

Start date: March 2023

In the role as IT Manufacturing intern you will be part of a world-class team responsible for designing and building the automated and robotic equipment at Tesla factories. If you are a technical expert in various areas, thrive under pressure, enjoy solving problems, love working your way through chaos, and get bored with mundane IT tasks, then this role is for you. You will be collaborating with the team in gathering the requirements, analyze them and propose solution to networking needs. Furthermore, you will be contributing to the team's mission by providing, implementing, testing and maintaining networking services per solution design.

What You’ll Do
Put into practice your technical and analytical skills by performing root cause analysis, document findings, and suggest changes to prevent future outages
Help the team with the installation, support, patch, upgrade, replacement, and remediating all IT hardware along manufacturing lines
Support operations related to: troubleshoot hardware, operating system and software issues
Identifying troubleshoot network issues from the client up to the switch and IDF
Learn and get good experience in IP networking, L2/L3 network protocols (spanning-tree, OSPF, BGP), LAN/WAN, TCP/IP,
DHCP, DNS, routing, QOS, VLAN, ACL, application flow, NAC, and infrastructure cabling
Learn different monitoring tools and support global monitoring system
Understanding of how to develop scripts to automate infrastructure deployment and collect metrics
What You’ll Bring
Studying towards a degree in Computer Science or related
Experience within user support and imaging hardware
Overall understanding of LAN/WAN, TCP/IP, DHCP, DNS, routing, VLAN and infrastructure cabling
Knowledge of Microsoft Word, Excel, PowerPoint, and Visio
C1 level in English is required, German is a plus"
"Working Student/ Werkstudent (m/f/x) in Technology, Data and Innovation at the Berlin Technology","Berlin, Berlin, Germany",1 week ago,25 applicants,"Position Overview

Location: Berlin

Working arrangement: part time as working student

Deutsche Bank Technology Centre in Berlin

DB Technology is a global team of tech specialists, spread across multiple trading hubs and technology centres. We have a strong focus on promoting technical excellence - our engineers work at the forefront of financial services innovation using cutting-edge technologies.

Our Berlin location is our most recent addition to our global network of technology centres and growing strongly. We are committed to building a diverse workforce and to creating excellent opportunities for talented engineers and technologists. Our tech teams and business units use agile ways of working to create solutions from our home market.

About Technology, Data And Innovation (TDI)

Technology underpins Deutsche Bank's entire business and is changing and shaping the way we engage, interact and transact with our stakeholders, internally and externally. Our Technology, Data and Innovation (TDI) strategy is strengthening our engineering expertise, introducing an agile delivery model, and is modernising the bank's IT infrastructure with long-term investments and taking advantage of cloud computing. We are building a team of visionary technology talent that will ensure that we thrive in this period of unprecedented change for the industry. That means hiring the right people and giving them the training, freedom and opportunity they need to do pioneering work.

Your Key Responsibilities
Estimate, design, develop, (auto)test and implement new functionalities and document design decisions
Prototyping new features, meeting business needs and solving challenging technical problems by designing and developing e.g. application codes
Work in a cross disciplined agile team with shared responsibility and high autonomy e.g., Collaborating with QA to ensure quality solutions are delivered to end users
Enhancing our infrastructure capabilities and functions with new and fresh ideas
Learn, grow and develop as a person and engineer

What we look for
You currently study in Computer Science, Computer Engineering, Information Technology, Industrial Engineering, Innovation and Technology or similar
You are able to write code in one or more coding languages such as but not limited to Java, Kotlin, Python (please provide proof in your application)
You understand software engineering, coding and software testing concepts as well as software development cycles
You are passionate about working for a global player in the world of finance
You have good communication skills with business fluency in English and enjoy collaboration in agile teams

What we offer
Competitive salary and benefits
Hybrid model of remote work and office days
Working at the forefront of financial services technology at scale

In addition to your CV, please also upload your current certificate of enrolment.

In case of any recruitment related questions, please get in touch with Luisa Moderzinski.

Contact: Luisa Moderzinski (+49 15129200322)

Unsere Werte bestimmen das Arbeitsumfeld, welches wir schaffen möchten - vielfältig, wertschätzend und offen für verschiedene Meinungen. Nur eine Unternehmenskultur, die eine Vielzahl von Perspektiven, sowie kulturellen und gesellschaftlichen Hintergründen vereint, fördert Innovation. Wir setzten auf vielfältige Teams, in welchen die Menschen ihr volles Potential entfalten können - denn das Zusammenführen verschiedener Talente und Ideen spielt eine entscheidende Rolle für den geschäftlichen Erfolg der Deutschen Bank.

Unsere Unternehmenskultur setzt hohe ethische Standards und fördert ein gutes Miteinander. Unabhängig von kulturellem Hintergrund, Nationalität, ethnischer Zugehörigkeit, geschlechtlicher und sexueller Identität, körperlichen Fähigkeiten, Religion und Generation freuen wir uns über Bewerbungen talentierter Menschen.

Sprechen Sie uns an: Wir bieten flexible Arbeitszeitmodelle und weitere Zusatzleistungen, um Sie in Ihrem Berufsleben zu unterstützen.

Klicken Sie hier für weitere Informationen zu Vielfalt und Teilhabe in der Deutschen Bank."
Working Student (f/m/d) Software Development,"Berlin, Berlin, Germany",6 days ago,19 applicants,"If you really want to make a difference – make it with us

Siemens Mobility is a separately managed company of Siemens AG and has been a leading supplier in the field of mobility for over 160 years. Our core business includes rail vehicles, rail automation and electrification solutions, turnkey systems and related services. We have always been very innovative in making traveling faster, safer and more comfortable. Today, we need new solutions to new challenges such as climate change and rising populations worldwide. That's what drives us. That's why we shape mobility with passion, always being one step ahead. Through digitalization, we make infrastructures smart and create opportunities that get us from A to B sustainably and seamlessly. Our 38,200 employees are pioneers in mobility who help to keep the world moving.

Your new role – challenging and future-oriented

In your new position as ""Working Student (f/m/d) Software Development"" you will become part of our team and support us in developing new IT security solutions.
You will help us to develop a fully automated deployment infrastructure

Your Qualifications – Solid And Appropriate

You are studying computer science, information systems management or a comparable course of studies and are available for 20 h/week.
You have deeper knowledge of the programming language Python and Linux.
Ideally, you have some experience in REST interfaces.
You have very good German and English skills.

Getting in touch with us – straightforward and direct

www.siemens.de/mobility

if you would like to find out more about Siemens before applying.

+49 (9131) 17 52430

if you wish to discuss any initial questions with our recruitment team. The contact person handling this job ad is Ms. Julia Greff.

www.siemens.com/careers

if you would like more information about jobs and careers at Siemens.

As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.

Organization: Siemens Mobility

Company: Siemens Mobility GmbH

Experience Level: Student (Not Yet Graduated)

Full / Part time: Part-time"
Student Assistant with focus on Web Development with Python and JavaScript,"Berlin, Berlin, Germany",1 month ago,31 applicants,"Excellence in applied research and development for manufacturing companies – this is what the Fraunhofer Institute for Production Systems und Design Technology IPK in Berlin has stood for over 35 years. What does that mean? We support companies with innovation, from product development to the production process, maintenance of capital goods and recycling of products to the design and management of factory operations.

In the division of Corporate Management, we work on the design and implementation of innovative concepts for value creation processes in companies, management, and the development of methods and software tools to support corporate planning and control.

You think that combining studies, practice and research is not possible? You can! With us you will apply the contents of your studies in research and consulting projects and gain valuable practical experience. Curious? Then apply today!

Was Sie bei uns tun
As part of a small, agile team of developers, you will further develop existing software solutions in the area of process management.
You will support the requirements elicitation and presentation of functionalities within the scope of industry and research projects.
You will develop and implement solutions independently.

Was Sie mitbringen
You are currently studying (Bachelor or Master) Computer Science, Business Informatics or comparable subjects, or you are a student of other disciplines with relevant experiences in software development.
You have good language skills (oral and written) in English (B2 at least) and German (A1 at least).
You have experience with Python, JavaScript and preferably Docker and MySQL.
You have experience with web development.
You are confident in working with Git / GitLab.
You bring diligence and reliability, but also commitment and team spirit.

Was Sie erwarten können
We value flexible working hours, independent work and room for your own ideas.
You need a topic for a thesis? No problem! Together we will find one.

We value and promote the diversity of our employees' skills and therefore welcome all applications - regardless of age, gender, nationality, ethnic and social origin, religion, ideology, disability, sexual orientation and identity.

With its focus on developing key technologies that are vital for the future and enabling the commercial use of this work by business and industry, Fraunhofer plays a vital role in innovation. As a pioneer and catalyst for ground-breaking developments and scientific excellence, Fraunhofer helps shape society now and for the future.

Interested? Please apply exclusively via the recruiting portal (button ""Apply"" at the bottom right). We look forward to getting to know you!

If you have any questions, please contact:

Frau

Ramona Münich

E-Mail: ramona.muenich@ipk.fraunhofer.de

Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik IPK

www.ipk.fraunhofer.de

Kennziffer: 56899 Bewerbungsfrist:"
Werkstudent (w/m/d) Applikationsentwicklung,"Berlin, Berlin, Germany",1 week ago,6 applicants,"Gemeinsam machen wir den Unterschied

Siemens Mobility ist ein eigenständig geführtes Unternehmen der Siemens AG und seit über 160 Jahren ein führender Anbieter im Bereich Mobilität. Zu unserem Kerngeschäft gehören Schienenfahrzeuge, Bahnautomatisierungs- und Elektrifizierungslösungen, schlüsselfertige Systeme sowie die dazugehörigen Serviceleistungen. Wir waren schon immer sehr innovativ, um Reisen schneller, sicherer und komfortabler zu machen. Heute brauchen wir neue Lösungen für neue Herausforderungen wie den Klimawandel und weltweit steigende Bevölkerungszahlen. Das ist es, was uns antreibt. Deshalb gestalten wir Mobilität mit Leidenschaft und sind immer einen Schritt voraus. Durch Digitalisierung machen wir Infrastrukturen intelligent und schaffen Möglichkeiten, die uns nachhaltig und nahtlos von A nach B bringen. Unsere 39.600 Mitarbeiter sind Pioniere im Mobilitätswesen, die dabei helfen, die Welt in Bewegung zu halten.

Dein neues Aufgabenfeld – herausfordernd und zukunftsorientiert

Bis zum Jahr 2025 soll aus dem Werksverbund (Berlin, Braunschweig, Irxleben) eine digitale Manufaktur werden. Die Gruppe „DigiLab and Applications“ ist hierbei verantwortlich für die Digitalisierung der Produktionsprozesse.

Du unterstützt uns bei der Entwicklung von Applikationen mittels unterschiedlicher LowCode Plattformen.
Zudem arbeitest Du strukturiert und dokumentierst deinen Quellcode auf Englisch.
Du unterstützt dein Team bei anfallenden Aufgaben.

Deine Qualifikationen – fundiert und adäquat

Du studierst Informatik, Elektrotechnik oder einen vergleichbaren technischen Studiengang und stehst uns für ca. h/Woche zur Verfügung.
Du besitzt Erfahrungen in der Applikationsentwicklung mit LowCode Plattformen (z. B. Mendix oder Power Apps),
Zudem kennst Du dich in der Integration von Back-End-Webdiensten mithilfe von REST-APIs aus.
Du kannst dich schnell in neue Tools und Programmiersprachen einarbeiten, wenn dies zur Lösung deiner Aufgabe erforderlich ist.
Die Kommunikation auf Deutsch und Englisch fällt dir leicht.

So trittst Du mit uns in Kontakt – einfach und direkt

www.siemens.de/mobility

wenn Du vor deiner Bewerbung mehr über Siemens erfahren möchtest.

+49 (9131) 17 52430

wenn Du erste Fragen gern persönlich mit unserem Recruiting Team klären möchtest. Ansprechpartner für diese Stellenausschreibung ist Frau Julia Greff.

www.siemens.de/karriere

wenn Du mehr Informationen zu Jobs & Karriere bei Siemens erhalten möchtest.

Wir legen Wert auf Chancengleichheit und freuen uns über Bewerbungen von Menschen mit Behinderung.

Organisation: Siemens Mobility

Unternehmen: Siemens Mobility GmbH

Erfahrungsniveau: Student / Schüler

Voll-/Teilzeit: Teilzeit"
